run,cell,arm,alpha,beta,rate_req_s,git_commit,router_image,seed,ok,errors,error_rate,ttft_mean,ttft_p50,ttft_p90,ttft_p95,ttft_p99,itl_p50,itl_p95,itl_p99,e2e_mean,e2e_p95,e2e_p99,throughput_req_s,throughput_tok_s,imbalance
20260803-215413-loadaware-b0,loadaware-b0,loadaware,1.0,0,10.5,87e071b263b3,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,1,500,0,0.0,0.1872,0.1791,0.2552,0.2877,0.3503,nan,nan,nan,2.638,3.8972,4.1108,9.9293,635.478,1.7531
20260803-215413-loadaware-b0,loadaware-b0,loadaware,1.0,0,10.5,87e071b263b3,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,2,500,0,0.0,0.1983,0.1898,0.2655,0.2894,0.3275,nan,nan,nan,2.9032,4.0338,4.2449,9.6695,618.8511,1.5918
20260803-215413-loadaware-b0,loadaware-b0,loadaware,1.0,0,10.5,87e071b263b3,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,3,499,1,0.002,0.2099,0.2013,0.2848,0.304,0.3668,nan,nan,nan,3.2272,4.3483,4.4486,10.0828,645.3023,1.9651
20260803-220435-loadaware-b0.5,loadaware-b0.5,loadaware,1.0,0.5,10.5,87e071b263b3,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,1,500,0,0.0,0.3787,0.1783,0.8427,1.367,1.9589,nan,nan,nan,3.439,5.6622,6.6752,9.7603,624.6575,1.0338
20260803-220435-loadaware-b0.5,loadaware-b0.5,loadaware,1.0,0.5,10.5,87e071b263b3,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,2,499,1,0.002,0.3978,0.1957,0.8272,1.2191,2.2685,nan,nan,nan,4.1006,7.2994,8.1594,9.3803,600.34,1.0633
20260803-220435-loadaware-b0.5,loadaware-b0.5,loadaware,1.0,0.5,10.5,87e071b263b3,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,3,500,0,0.0,0.4382,0.2634,0.9135,1.224,1.9911,nan,nan,nan,5.7073,13.0756,13.7894,9.9612,637.5161,1.0422
20260803-221539-loadaware-b1.0,loadaware-b1.0,loadaware,1.0,1.0,10.5,87e071b263b3,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,1,496,4,0.008,0.7322,0.4615,1.4174,2.6958,5.9371,nan,nan,nan,5.4424,9.4357,12.0895,9.7215,622.1733,1.0582
20260803-221539-loadaware-b1.0,loadaware-b1.0,loadaware,1.0,1.0,10.5,87e071b263b3,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,2,499,1,0.002,0.5716,0.3339,1.2305,1.5049,2.5403,nan,nan,nan,7.542,16.5599,17.2311,9.2921,594.693,1.3188
20260803-221539-loadaware-b1.0,loadaware-b1.0,loadaware,1.0,1.0,10.5,87e071b263b3,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,3,498,2,0.004,0.7363,0.525,1.4662,1.9298,3.4456,nan,nan,nan,11.9034,23.9497,26.0021,9.1545,585.8889,1.1534
20260803-222707-roundrobin,roundrobin,roundrobin,,,10.5,87e071b263b3,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,1,500,0,0.0,1.834,0.7332,5.6695,6.9204,8.0042,nan,nan,nan,15.2352,34.5843,35.4191,8.5011,544.0692,5.3875
